Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
XON,Intrexon Corporation,26.68,$3.16B,2013,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/xon
Q,"Quintiles IMS Holdings, Inc.",75.34,$8.93B,2013,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/q
MDT,Medtronic plc,82.71,$114.3B,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/mdt
STJ,"St. Jude Medical, Inc.",77.98,$22.22B,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/stj
VAR,"Varian Medical Systems, Inc.",95.76,$8.94B,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/var
ALR,Alere Inc.,43.16,$3.74B,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/alr
A,"Agilent Technologies, Inc.",45.08,$14.62B,1999,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/a
BIO,"Bio-Rad Laboratories, Inc.",161.33,$4.75B,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/bio
MTD,"Mettler-Toledo International, Inc.",406.61,$10.77B,1997,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/mtd
PKI,"PerkinElmer, Inc.",52.11,$5.7B,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/pki
WAT,Waters Corporation,154.9,$12.48B,1995,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/wat
PSO,"Pearson, Plc",10.1,$8.23B,n/a,Consumer Services,Books,http://www.nasdaq.com/symbol/pso
CBS,CBS Corporation,55.11,$24.5B,n/a,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/cbs
SSP,E.W. Scripps Company (The),14.62,$1.22B,n/a,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/ssp
ETM,Entercom Communications Corporation,12.79,$492.15M,1999,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/etm
EVC,Entravision Communications Corporation,7.08,$633.93M,2000,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/evc
GTN,"Gray Television, Inc.",9.51,$691.28M,n/a,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/gtn
TV,Grupo Televisa S.A.,25.33,$126.64M,1993,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/tv
MEG,"Media General, Inc.",17.88,$2.31B,n/a,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/meg
P,"Pandora Media, Inc.",12.83,$2.96B,2011,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/p
FENG,Phoenix New Media Limited,3.61,$257.51M,2011,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/feng
TGNA,TEGNA Inc.,19.94,$4.27B,n/a,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/tgna
TSQ,"Townsquare Media, Inc.",9.07,$166.84M,2014,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/tsq
TRCO,Tribune Media Company,33.78,$3.06B,2014,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/trco
CPAC,Cementos Pacasmayo S.A.A.,9.41,$1.03B,2012,Capital Goods,Building Materials,http://www.nasdaq.com/symbol/cpac
CX,Cemex S.A.B. de C.V.,8.36,$11.71B,n/a,Capital Goods,Building Materials,http://www.nasdaq.com/symbol/cx
CBPX,"Continental Building Products, Inc.",20.58,$832.42M,2014,Capital Goods,Building Materials,http://www.nasdaq.com/symbol/cbpx
CRH,CRH PLC,32.52,$26.79B,n/a,Capital Goods,Building Materials,http://www.nasdaq.com/symbol/crh
