,Store,Name,Store Status,Address,City,State,Zip Code,Report Date,Latitude,Longitude
113,2614,Hy-Vee #3 Food and Drugstore,A,1823 E Kimberly Rd,Davenport,IA,52807,10/01/2016,41.556781,-90.548919
114,2616,Hy-Vee Food and Drug / Clinton,A,901 South 4th St,Clinton,IA,52732,10/01/2016,41.83619,-90.193203
115,2618,Hy-Vee Drugstore #6 / Cedar Rapids,A,505 Boyson Rd NE,Cedar Rapids,IA,52402,10/01/2016,42.04671,-91.63913
116,2619,Hy-Vee Wine and Spirits / WDM,A,1725  74th St,West Des Moines,IA,50266,10/01/2016,41.598515,-93.808855
117,2620,Hy-Vee / Windsor Heights,A,7101 University Ave,Windsor Heights,IA,50311,10/01/2016,41.600375,-93.715116
118,2621,Hy-Vee Food Store #3 / Sioux City,A,3301 Gordon Dr,Sioux City,IA,51105,10/01/2016,42.487752,-96.364108
119,2622,Hy-Vee Food Store / Iowa City,A,1125 N Dodge St,Iowa City,IA,52240,10/01/2016,41.676203,-91.518536
120,2623,Hy-Vee Food Store #4 / Sioux City,A,2827 Hamilton Blvd,Sioux City,IA,51104,10/01/2016,42.519886,-96.417783
121,2624,Hy-Vee #2 / Dubuque,A,2395 NW Arterial Rd,Dubuque,IA,52002,10/01/2016,42.516633,-90.741064
122,2625,Hy-Vee Wine and Spirits #2,A,3301 W Kimberly Rd,Davenport,IA,52804,10/01/2016,41.558023,-90.624411
123,2626,Hy-Vee Drugstore / University / DSM,A,4100 University Ave,Des Moines,IA,50311,10/01/2016,41.600361,-93.673223
124,2627,Hy-Vee Wine and Spirits #1,A,3424 Martin Luther King Jr Pkw,Des Moines,IA,50310,10/01/2016,41.626402,-93.651112
125,2628,Hy-Vee Food Store / Eldora,A,1616 Edgington,Eldora,IA,50627,10/01/2016,42.360631,-93.103764
126,2629,Hy-Vee Food Store #2 / Council Bluffs,A,1745 Madison Ave,Council Bluffs,IA,51503,10/01/2016,41.242732,-95.825137
127,2630,Hy-Vee Drugstore #2 / WDM,A,1010  60th St,West Des Moines,IA,50266,10/01/2016,41.584979,-93.790534
128,2633,Hy-Vee #3 / BDI / Des Moines,A,3221 SE 14th St,Des Moines,IA,50320,10/01/2016,41.554101,-93.596754
129,2635,Hy-Vee #4 / Davenport,A,4064 E 53rd St,Davenport,IA,52807,10/01/2016,41.574973,-90.513769
130,2636,Hy-Vee Wine and Spirits / Hubbell,A,2310 Hubbell Ave,Des Moines,IA,50317,10/01/2016,41.604245,-93.573912
131,2637,Hy-Vee #5 / Davenport,A,2351 W Locust,Davenport,IA,52804,10/01/2016,41.538207,-90.611972
132,2641,Hy-Vee Drugstore / Council Bluffs,A,757 W BROADWAY,Council Bluffs,IA,51501,10/01/2016,41.261673,-95.855054
133,2642,Hy-Vee Wine and Spirits / Pella,A,512 E Oskaloosa,Pella,IA,50219,10/01/2016,41.396961,-92.899282
134,2643,Hy-Vee Wine and Spirits / Waterloo,A,2126 Kimball Ave,Waterloo,IA,50701,10/01/2016,42.470369,-92.356943
135,2644,Hy-Vee Fort Dodge Wine and Spirits,A,1511 2nd Ave North,Fort Dodge,IA,50501,10/01/2016,42.508352,-94.17692
136,2647,Hy-Vee #7 / Cedar Rapids,A,5050 Edgewood Rd,Cedar Rapids,IA,52411,10/01/2016,42.030457,-91.701432
137,2648,Hy-Vee #4 / Wdm,A,555 S 51st St,West Des Moines,IA,50265,10/01/2016,41.561219,-93.773583
138,2649,Hy-Vee #3 / Dubuque,A,400 Locust St,Dubuque,IA,52001,10/01/2016,42.497219,-90.666497
139,2650,Hy-Vee Wine and Spirits / Harlan,A,1808 23rd St,Harlan,IA,51537,10/01/2016,41.65063,-95.339879
140,2651,Hy-Vee / Waverly,A,1311 4 Street SW,Waverly,IA,50677,10/01/2016,42.712263,-92.475403
141,2652,Hy-Vee DrugStore / Mason City,A,875  4th St SW,Mason City,IA,50401,10/01/2016,43.148257,-93.213856
142,2653,Hy-Vee Wine and Spirits / Washington,A,1004 W Madison St,Washington,IA,52353,10/01/2016,41.296576,-91.704551
143,2655,Hy-Vee Food Store / Clarinda,A,1200 S 16TH ST,Clarinda,IA,51632,10/01/2016,40.726839,-95.037848
144,2656,Hy-Vee Food Store / Corning,A,300  10th St,Corning,IA,51632,10/01/2016,40.991951,-94.743093
145,2657,Hy-Vee Food Store / Bedford,A,1604 Bent,Bedford,IA,50833,10/01/2016,40.676171,-94.725578
146,2658,Hy-Vee Food Store / Mount Ayr,A,402 S Hayes St,Mount Ayr,IA,50854,10/01/2016,40.711775,-94.233185
