,title,company,location,reviews,summary,hourly,monthly,yearly,est_sal
338,"Manager, Tax Technology - Data Analytics Machine Learning",KPMG,"Atlanta, GA 30338","1,766","Lead the design and development of tools and solutions working with data scientists, big data teams, data integration teams and visualization experts to deliver...",0,0,0,
339,Statistical Quant Analyst,SunTrust,"Atlanta, GA","2,099",Statistical Quant Analyst-W430139 Description Develops and analyzes quantitative models. Researches best practices and new technologies. Performs complex,0,0,0,
340,Application Developer,ADP,"Alpharetta, GA 30005","1,654","At ADP, the world's largest B2B cloud company, our Technology team is comprised of brilliant engineers, architects, data scientists, infrastructure experts, and...",0,0,0,
341,Data Scientist With Predictive Modeling,MobileDev Power,"Atlanta, GA 30305",,"Build scalable predictive models based on data sets. Collaborate with others in Data Science and Analytics, and other adequately-prepared power users elsewhere...",0,0,0,
342,DATA SCIENTIST- Space Optimization,Home Depot,"Atlanta, GA","20,566","Extensive work experience in Application Development, Optimization, Data Mining, Data Modeling, and Statistical Analysis....",0,0,0,
343,Data Scientist,Cox Automotive,"Atlanta, GA",42,Description Cox Automotive is hiring a Data Scientist. The Data Scientist will design and drive the creation of new standards and best practices in the use of...,0,0,0,
344,"Manager, Data Analysis",Cox Communications,"Atlanta, GA","1,231","Operates large data volumes from various internal data sources. Transforms data into actionable insights. Focuses on identifying opportunities, researching data...",0,0,0,
345,Actuarial Statistician,State Farm Mutual Automobile Insurance Company,"Dunwoody, GA","3,356",Reviews data in innovative ways to further the pricing and risk selection objectives of the enterprise. Communicates complex analytic methods and findings to...,0,0,0,
346,"Data Analyst, Predictive Modeling",Target MarkeTeam,"Atlanta, GA",,The Data Analyst will work with client data to create/implement statistical predictive/prescriptive. Manage/manipulate large data sets efficiently while keeping...,0,0,0,
347,Sr. Manager - Data Analytics,KPMG,"Atlanta, GA 30338","1,766",Strong experience in leading and delivering data integration or data analysis projects. Lead the design and development of tools and solutions working with data...,0,0,0,
348,Principal Statistical Modeler,Reed Elsevier,"Alpharetta, GA",32,"The incumbent also provides analytics consultation and results interpretation across Business Verticals, Product Management, Data Fabrication, and Data...",0,0,0,
349,Big Data Technical Intern I,AT&T,"Alpharetta, GA","14,277","As a data scientist or data engineer, you’ll use your talent for breaking down business problems into data-driven analyses that guide improvements in customer...",0,0,0,
350,Public Health Research Data Analyst (EOC),CSRA,"Atlanta, GA",53,"Performs or assists with data reviews, data validations, quality control, and data cleaning; And preparation of data deliverables....",0,0,0,
351,Data Scientist,KPMG,"Atlanta, GA 30338","1,766","KPMG is currently seeking a Data Scientist, to join our Advanced Data Analytics in our Atlanta, GA office. Eight years of professional experience working as a...",0,0,0,
352,"Sr. Scientist, Upstream Technology – Formulation Additives",Lonza,"Alpharetta, GA",53,"Prepare and test biocidal formulations in order to generate the relevant data to support a “Proven Concept”. At Lonza, we invest in great people....",0,0,0,
353,"Manager, Data Analysis",Cox Communications,"Atlanta, GA","1,231","Operates large data volumes from various internal data sources. Transforms data into actionable insights. Focuses on identifying opportunities, researching data...",0,0,0,
354,Health Research Analyst 2,Northrop Grumman,"Atlanta, GA","2,123","Conduct data management and quality assurance. Organize project files, including data and correspondences. Minimum 2 years work experience with HIV/AIDS program...",0,0,0,
355,Senior Data Scientist,Cox Automotive,"Atlanta, GA",42,"Cox Automotive is hiring a Senior Data, Scientist. The Senior Data Scientist, Data Solutions, operates in a lead role, gathering and analyzing data in order to...",0,0,0,
356,UX Designer II,ADP,"Alpharetta, GA 30004","1,654","At ADP, the world's largest B2B cloud company, our Technology team is comprised of brilliant engineers, architects, data scientists, infrastructure experts, and...",0,0,0,
357,Data Scientist With Predictive Modeling,MobileDev Power,"Atlanta, GA 30305",,"Build scalable predictive models based on data sets. Collaborate with others in Data Science and Analytics, and other adequately-prepared power users elsewhere...",0,0,0,
358,DATA SCIENTIST,Home Depot,"Atlanta, GA","20,566",Strong communication and data presentation skills. Insights from data to solve business problems. The Data Scientist will develop the analytical infrastructure...,0,0,0,
359,Data Scientist,Hunter Technical Resources,"Atlanta, GA 30328",5,"As a Data Scientist, you will lead the design of intelligent systems that will orchestrate our member experience and change the way that people use vehicles....",0,0,0,
360,Epidemiologist,Centers for Disease Control and Prevention,"Atlanta, GA",62,Assessment of the adequacy and quality of data used in the analyses; Participate in the synthesis of social science and epidemiologic data to be applied toward...,0,0,1,101553.5
361,Senior Data Scientist,Analytic Recruiting,"Atlanta, GA",2,"Python, data mining, data science; The data Scientist must also be able to manage complicated projects involving multiple internal/external stakeholders and...",0,0,1,112500.0
362,Research Scientist,PreVisor,"Atlanta, GA",,"Identify opportunities for improving, collecting and analyzing data, and developing assessment content. The Research Scientist is critical to the Content and...",0,0,0,
